date,ti
 13_Oct_2022 ,52.487999
 14_Oct_2022 ,58.4155645
 17_Oct_2022 ,67.10963747
 18_Oct_2022 ,66.39538632
 19_Oct_2022 ,77.27467997
 20_Oct_2022 ,85.57269802
 21_Oct_2022 ,78.85192171
 24_Oct_2022 ,75.10647663
 25_Oct_2022 ,66.9769646
 27_Oct_2022 ,57.84228344
 28_Oct_2022 ,60.7552567
 31_Oct_2022 ,66.39652975
 1_Nov_2022 ,64.11406663
 2_Nov_2022 ,63.28133989
 3_Nov_2022 ,63.24586924
 4_Nov_2022 ,64.20113974
 7_Nov_2022 ,63.3728165
 9_Nov_2022 ,63.2788748
 10_Nov_2022 ,55.90368748
 11_Nov_2022 ,57.11146885
 14_Nov_2022 ,62.80662177
 15_Nov_2022 ,61.1930339
 16_Nov_2022 ,61.95692718
 17_Nov_2022 ,68.76256454
 18_Nov_2022 ,62.03509354
 21_Nov_2022 ,55.32357039
 22_Nov_2022 ,58.63428936
 23_Nov_2022 ,65.23870491
 24_Nov_2022 ,66.03117198
 25_Nov_2022 ,64.52143131
 28_Nov_2022 ,69.83902659
 29_Nov_2022 ,69.89701329
 30_Nov_2022 ,77.78450598
 1_Dec_2022 ,77.43499765
 2_Dec_2022 ,70.16687917
 5_Dec_2022 ,66.6787479
 6_Dec_2022 ,67.01625904
 7_Dec_2022 ,62.22677908
 8_Dec_2022 ,61.26519295
 9_Dec_2022 ,59.012795
 12_Dec_2022 ,58.02341596
 13_Dec_2022 ,58.50550496
 14_Dec_2022 ,58.0508185
 15_Dec_2022 ,53.55767355
 16_Dec_2022 ,39.36729537
 19_Dec_2022 ,37.9166623
 20_Dec_2022 ,29.10252953
 21_Dec_2022 ,22.23670315
 22_Dec_2022 ,23.0212817
 23_Dec_2022 ,23.98234758
 26_Dec_2022 ,24.56609536
 27_Dec_2022 ,29.75338962
 28_Dec_2022 ,35.86785349
 29_Dec_2022 ,43.54794077
 30_Dec_2022 ,50.73758607
 2_Jan_2023 ,49.33439115
 3_Jan_2023 ,42.63063673
 4_Jan_2023 ,42.48851379
 5_Jan_2023 ,43.47041943
 6_Jan_2023 ,42.67390098
 9_Jan_2023 ,44.31618235
 10_Jan_2023 ,44.54451608
 11_Jan_2023 ,43.04735084
 12_Jan_2023 ,40.5617205
 13_Jan_2023 ,36.42673856
 16_Jan_2023 ,30.59627133
 17_Jan_2023 ,32.00577886
 18_Jan_2023 ,34.73265335
 19_Jan_2023 ,29.16235771
 20_Jan_2023 ,24.37637053
 23_Jan_2023 ,23.9741195
 24_Jan_2023 ,23.09872563
 25_Jan_2023 ,23.34383435
 27_Jan_2023 ,17.92198824
 30_Jan_2023 ,11.69611146
 31_Jan_2023 ,20.82612796
 1_Feb_2023 ,20.22716055
 2_Feb_2023 ,20.67793108
 3_Feb_2023 ,20.42820438
 6_Feb_2023 ,20.39388163
 7_Feb_2023 ,15.38586487
 8_Feb_2023 ,17.74864211
 9_Feb_2023 ,23.0271101
 10_Feb_2023 ,23.48610664
 13_Feb_2023 ,23.59450824
 14_Feb_2023 ,29.8613528
 15_Feb_2023 ,40.54992583
 16_Feb_2023 ,48.88661251
 17_Feb_2023 ,50.79079951
